S-18B Kaldi 8 0.11904761904761904 S:2, I:2, D:2
S-18B Google 9 0.0 S:2, I:2, D:2
S-18B Kaldi 9 0.16666666666666666 S:2, I:2, D:2
S-18B Google 10 0.21052631578947367 S:2, I:2, D:4
S-18B Kaldi 10 0.039473684210526314 S:2, I:2, D:2
S-18B Google 11 0.147239263803681 S:4, I:3, D:3
S-18B Kaldi 11 0.012269938650306749 S:2, I:2, D:2

S-19C Google 0 0.2672811059907834 S:2, I:2, D:2
S-19C Kaldi 0 0.059907834101382486 S:2, I:2, D:2
S-19C Google 1 0.5520833333333334 S:6, I:2, D:2
S-19C Kaldi 1 0.1875 S:2, I:2, D:3
S-19C Google 2 0.22270742358078602 S:2, I:2, D:2
S-19C Kaldi 2 0.06986899563318777 S:2, I:2, D:2
S-19C Google 3 0.3064516129032258 S:7, I:2, D:2
S-19C Kaldi 3 0.13709677419354838 S:2, I:2, D:2
S-19C Google 4 0.24344569288389514 S:2, I:2, D:2
S-19C Kaldi 4 0.1198501872659176 S:2, I:2, D:2
S-19C Google 5 0.29012345679012347 S:5, I:6, D:5
S-19C Kaldi 5 0.1111111111111111 S:2, I:2, D:2
S-19C Google 6 0.23232323232323232 S:6, I:6, D:4
S-19C Kaldi 6 0.06060606060606061 S:2, I:2, D:2
S-19C Google 7 0.13636363636363635 S:5, I:5, D:4
S-19C Kaldi 7 0.0 S:2, I:2, D:2
S-19C Google 8 0.15942028985507245 S:2, I:2, D:2
S-19C Kaldi 8 0.043478260869565216 S:2, I:2, D:2
S-19C Google 9 0.2839506172839506 S:2, I:2, D:2
S-19C Kaldi 9 0.18518518518518517 S:2, I:2, D:2
S-19C Google 10 0.2727272727272727 S:5, I:5, D:5
S-19C Kaldi 10 0.030303030303030304 S:3, I:3, D:4
S-19C Google 11 0.30158730158730157 S:9, I:2, D:2
S-19C Kaldi 11 0.14285714285714285 S:3, I:2, D:2

S-20D Google 0 0.27413127413127414 S:2, I:2, D:2
S-20D Kaldi 0 0.10038610038610038 S:2, I:2, D:2
S-20D Google 1 0.15737704918032788 S:2, I:2, D:2
S-20D Kaldi 1 0.06885245901639345 S:2, I:2, D:2
S-20D Google 2 0.27450980392156865 S:3, I:2, D:2
S-20D Kaldi 2 0.07516339869281045 S:2, I:2, D:2
S-20D Google 3 0.19298245614035087 S:6, I:2, D:5
S-20D Kaldi 3 0.12719298245614036 S:2, I:2, D:2
S-20D Google 4 0.14148351648351648 S:2, I:2, D:2
S-20D Kaldi 4 0.03159340659340659 S:2, I:2, D:2
S-20D Google 5 0.21291866028708134 S:2, I:2, D:2
S-20D Kaldi 5 0.05980861244019139 S:2, I:2, D:2
S-20D Google 6 0.6388888888888888 S:2, I:2, D:2
S-20D Kaldi 6 0.1111111111111111 S:2, I:2, D:2
S-20D Google 7 0.3333333333333333 S:2, I:2, D:2
S-20D Kaldi 7 0.020833333333333332 S:2, I:2, D:2
S-20D Google 8 0.18181818181818182 S:8, I:4, D:4
S-20D Kaldi 8 0.13636363636363635 S:2, I:2, D:2
S-20D Google 9 0.15 S:2, I:2, D:2
S-20D Kaldi 9 0.025 S:2, I:2, D:2
S-20D Google 10 0.19607843137254902 S:2, I:2, D:2
S-20D Kaldi 10 0.029411764705882353 S:2, I:2, D:2
S-20D Google 11 0.1232876712328767 S:8, I:4, D:3
S-20D Kaldi 11 0.0136986301369863 S:2, I:2, D:2

S-21A Google 0 0.3816793893129771 S:5, I:2, D:4
S-21A Kaldi 0 0.20229007633587787 S:2, I:2, D:2
S-21A Google 1 0.36363636363636365 S:2, I:2, D:2
S-21A Kaldi 1 0.15272727272727274 S:2, I:2, D:2
S-21A Google 2 0.3838383838383838 S:7, I:4, D:7
S-21A Kaldi 2 0.08080808080808081 S:2, I:2, D:2
S-21A Google 3 0.33109619686800895 S:2, I:2, D:2
S-21A Kaldi 3 0.16331096196868009 S:2, I:2, D:2
S-21A Google 4 0.341130604288499 S:2, I:2, D:2
S-21A Kaldi 4 0.1539961013645224 S:2, I:2, D:2
S-21A Google 5 0.3333333333333333 S:6, I:5, D:6
S-21A Kaldi 5 0.1956521739130435 S:2, I:2, D:2
S-21A Google 6 0.4 S:2, I:2, D:2
S-21A Kaldi 6 0.24761904761904763 S:2, I:2, D:2
S-21A Google 7 0.3684210526315789 S:3, I:2, D:4
S-21A Kaldi 7 0.10526315789473684 S:2, I:2, D:2
S-21A Google 8 0.2682926829268293 S:2, I:2, D:2
S-21A Kaldi 8 0.024390243902439025 S:2, I:2, D:2
S-21A Google 9 0.4090909090909091 S:2, I:2, D:3
S-21A Kaldi 9 0.25 S:2, I:2, D:2
S-21A Google 10 0.273224043715847 S:3, I:3, D:3
S-21A Kaldi 10 0.12568306010928962 S:2, I:2, D:2
S-21A Google 11 0.3888888888888889 S:3, I:3, D:3
S-21A Kaldi 11 0.25555555555555554 S:2, I:2, D:2

S-22B Google 0 0.26905829596412556 S:2, I:2, D:2
S-22B Kaldi 0 0.053811659192825115 S:2, I:2, D:2
S-22B Google 1 0.19491525423728814 S:2, I:2, D:2
S-22B Kaldi 1 0.00847457627118644 S:2, I:2, D:2
S-22B Google 2 0.1832191780821918 S:2, I:2, D:2
S-22B Kaldi 2 0.0273972602739726 S:2, I:2, D:2
S-22B Google 3 0.25296442687747034 S:2, I:2, D:2
S-22B Kaldi 3 0.039525691699604744 S:2, I:2, D:2
S-22B Google 4 0.27988338192419826 S:2, I:2, D:2
S-22B Kaldi 4 0.09620991253644315 S:2, I:2, D:2
S-22B Google 5 0.24266666666666667 S:2, I:2, D:2
S-22B Kaldi 5 0.024 S:2, I:2, D:2
S-22B Google 6 0.2857142857142857 S:2, I:2, D:2
S-22B Kaldi 6 0.14285714285714285 S:2, I:2, D:2
S-22B Google 7 0.12650602409638553 S:2, I:2, D:4
S-22B Kaldi 7 0.04216867469879518 S:2, I:2, D:2
S-22B Google 8 0.2026431718061674 S:2, I:2, D:2
S-22B Kaldi 8 0.04405286343612335 S:2, I:2, D:2
S-22B Google 9 0.1956521739130435 S:5, I:5, D:4
S-22B Kaldi 9 0.021739130434782608 S:2, I:2, D:2
S-22B Google 10 0.14215686274509803 S:3, I:3, D:3
S-22B Kaldi 10 0.029411764705882353 S:2, I:2, D:2
S-22B Google 11 0.1875 S:2, I:2, D:2
S-22B Kaldi 11 0.014423076923076924 S:2, I:2, D:2

S-23C Google 0 0.15757575757575756 S:4, I:4, D:3
S-23C Kaldi 0 0.03636363636363636 S:2, I:2, D:2
S-23C Google 1 0.2097560975609756 S:2, I:2, D:2
S-23C Kaldi 1 0.07804878048780488 S:2, I:2, D:2
S-23C Google 2 0.11797752808988764 S:3, I:3, D:2
S-23C Kaldi 2 0.011235955056179775 S:2, I:2, D:2
S-23C Google 3 0.23853211009174313 S:2, I:2, D:2
S-23C Kaldi 3 0.0871559633027523 S:2, I:2, D:2
S-23C Google 4 0.25311203319502074 S:2, I:2, D:2
S-23C Kaldi 4 0.08921161825726141 S:2, I:2, D:2
S-23C Google 5 0.2150170648464164 S:7, I:4, D:7
S-23C Kaldi 5 0.07508532423208192 S:2, I:2, D:2
S-23C Google 6 0.27906976744186046 S:3, I:2, D:2
S-23C Kaldi 6 0.06976744186046512 S:2, I:2, D:2
S-23C Google 7 0.09722222222222222 S:4, I:5, D:6
S-23C Kaldi 7 0.027777777777777776 S:3, I:2, D:2
S-23C Google 8 0.18181818181818182 S:2, I:2, D:2
S-23C Kaldi 8 0.056818181818181816 S:2, I:2, D:2
S-23C Google 9 0.08 S:3, I:2, D:2
S-23C Kaldi 9 0.08 S:2, I:2, D:2
S-23C Google 10 0.3541666666666667 S:3, I:4, D:3
S-23C Kaldi 10 0.020833333333333332 S:2, I:2, D:2
S-23C Google 11 0.21476510067114093 S:4, I:4, D:6
S-23C Kaldi 11 0.0738255033557047 S:2, I:2, D:2

S-24D Google 0 0.27125506072874495 S:2, I:2, D:2
S-24D Kaldi 0 0.05668016194331984 S:2, I:2, D:2
S-24D Google 1 0.1984732824427481 S:2, I:2, D:2
S-24D Kaldi 1 0.04961832061068702 S:2, I:2, D:2
S-24D Google 2 0.15789473684210525 S:2, I:2, D:2
S-24D Kaldi 2 0.04736842105263158 S:2, I:2, D:2
S-24D Google 3 0.15789473684210525 S:2, I:2, D:2
S-24D Kaldi 3 0.03368421052631579 S:2, I:2, D:2
S-24D Google 4 0.20376175548589343 S:2, I:2, D:2
S-24D Kaldi 4 0.006269592476489028 S:2, I:2, D:2
S-24D Google 5 0.1875 S:2, I:2, D:2
S-24D Kaldi 5 0.06048387096774194 S:2, I:2, D:2
S-24D Google 6 0.27058823529411763 S:2, I:2, D:2
S-24D Kaldi 6 0.09411764705882353 S:2, I:2, D:2
S-24D Google 7 0.0967741935483871 S:4, I:2, D:4
S-24D Kaldi 7 0.04838709677419355 S:2, I:2, D:2
S-24D Google 8 0.2 S:3, I:2, D:4
S-24D Kaldi 8 0.06666666666666667 S:2, I:2, D:2
S-24D Google 9 0.23270440251572327 S:3, I:3, D:2
S-24D Kaldi 9 0.050314465408805034 S:2, I:2, D:2
S-24D Google 10 0.2625 S:2, I:4, D:4
S-24D Kaldi 10 0.025 S:2, I:2, D:2
S-24D Google 11 0.2358490566037736 S:2, I:2, D:2
S-24D Kaldi 11 0.0660377358490566 S:2, I:2, D:2

S-26B Google 0 0.24719101123595505 S:4, I:4, D:2
S-26B Kaldi 0 0.033707865168539325 S:2, I:2, D:2
S-26B Google 1 0.22709163346613545 S:4, I:5, D:4
S-26B Kaldi 1 0.02390438247011952 S:2, I:2, D:2
S-26B Google 2 0.15302491103202848 S:2, I:2, D:2
S-26B Kaldi 2 0.014234875444839857 S:2, I:2, D:2
S-26B Google 3 0.2482758620689655 S:3, I:3, D:3
S-26B Kaldi 3 0.06206896551724138 S:2, I:2, D:2
S-26B Google 4 0.17064846416382254 S:2, I:2, D:2
S-26B Kaldi 4 0.06825938566552901 S:2, I:2, D:2
S-26B Google 5 0.2194513715710723 S:2, I:2, D:2
S-26B Kaldi 5 0.12967581047381546 S:2, I:2, D:2
S-26B Google 6 0.22527472527472528 S:8, I:2, D:2
S-26B Kaldi 6 0.06043956043956044 S:2, I:2, D:2
S-26B Google 7 0.1485148514851485 S:6, I:4, D:6
S-26B Kaldi 7 0.009900990099009901 S:3, I:2, D:2
S-26B Google 8 0.11206896551724138 S:2, I:2, D:2
S-26B Kaldi 8 0.04310344827586207 S:2, I:2, D:2
S-26B Google 9 0.1 S:5, I:4, D:5
S-26B Kaldi 9 0.03333333333333333 S:2, I:2, D:2
S-26B Google 10 0.18085106382978725 S:3, I:3, D:3
S-26B Kaldi 10 0.0851063829787234 S:2, I:2, D:2
S-26B Google 11 0.5 S:2, I:2, D:2
S-26B Kaldi 11 0.1 S:2, I:2, D:2

S-27C Google 0 0.22531645569620254 S:2, I:2, D:2
S-27C Kaldi 0 0.060759493670886074 S:2, I:2, D:2
S-27C Google 1 0.18412698412698414 S:4, I:4, D:4
S-27C Kaldi 1 0.03492063492063492 S:2, I:2, D:2
S-27C Google 2 0.24641833810888253 S:2, I:2, D:2
S-27C Kaldi 2 0.025787965616045846 S:2, I:2, D:2
S-27C Google 3 0.21304347826086956 S:2, I:2, D:2
S-27C Kaldi 3 0.041304347826086954 S:2, I:2, D:2
S-27C Google 4 0.2052877138413686 S:2, I:2, D:2
S-27C Kaldi 4 0.05287713841368585 S:2, I:2, D:2
S-27C Google 5 0.1882716049382716 S:2, I:2, D:2
S-27C Kaldi 5 0.06584362139917696 S:2, I:2, D:2
S-27C Google 6 0.2727272727272727 S:2, I:2, D:2
S-27C Kaldi 6 0.09740259740259741 S:2, I:2, D:2
S-27C Google 7 0.18867924528301888 S:3, I:4, D:2
S-27C Kaldi 7 0.05660377358490566 S:2, I:2, D:2
S-27C Google 8 0.24742268041237114 S:4, I:3, D:4
S-27C Kaldi 8 0.041237113402061855 S:2, I:2, D:2
S-27C Google 9 0.21296296296296297 S:2, I:2, D:2
S-27C Kaldi 9 0.037037037037037035 S:2, I:2, D:2
S-27C Google 10 0.26666666666666666 S:4, I:2, D:4
S-27C Kaldi 10 0.13333333333333333 S:2, I:2, D:2
S-27C Google 11 0.29411764705882354 S:4, I:3, D:2
S-27C Kaldi 11 0.14705882352941177 S:2, I:2, D:2

S-29A Google 0 0.1721311475409836 S:2, I:2, D:2
S-29A Kaldi 0 0.045081967213114756 S:2, I:2, D:2
S-29A Google 1 0.2048611111111111 S:2, I:2, D:2
S-29A Kaldi 1 0.0763888888888889 S:2, I:2, D:2
S-29A Google 2 0.33447098976109213 S:3, I:2, D:3
S-29A Kaldi 2 0.09556313993174062 S:2, I:2, D:2
S-29A Google 3 0.20569620253164558 S:2, I:2, D:2
S-29A Kaldi 3 0.07911392405063292 S:2, I:2, D:2
S-29A Google 4 0.22007722007722008 S:2, I:2, D:2
S-29A Kaldi 4 0.05019305019305019 S:2, I:2, D:2
S-29A Google 5 0.16605166051660517 S:4, I:3, D:2
S-29A Kaldi 5 0.06273062730627306 S:2, I:2, D:2
S-29A Google 6 0.2972972972972973 S:2, I:2, D:2
S-29A Kaldi 6 0.10810810810810811 S:2, I:2, D:2
S-29A Google 7 0.17647058823529413 S:2, I:2, D:3
S-29A Kaldi 7 0.047058823529411764 S:2, I:2, D:2
S-29A Google 8 0.13333333333333333 S:4, I:3, D:3
S-29A Kaldi 8 0.013333333333333334 S:2, I:2, D:2
S-29A Google 9 0.2619047619047619 S:5, I:5, D:3
S-29A Kaldi 9 0.11904761904761904 S:2, I:2, D:2
S-29A Google 10 0.18571428571428572 S:4, I:4, D:3
S-29A Kaldi 10 0.08571428571428572 S:2, I:2, D:2
S-29A Google 11 0.21153846153846154 S:3, I:5, D:5
S-29A Kaldi 11 0.17307692307692307 S:2, I:2, D:2

S-2B Google 0 0.45045045045045046 S:2, I:2, D:2
S-2B Kaldi 0 0.10810810810810811 S:2, I:2, D:2
